Date,Product,Quantity,Selling_Price,Cost_Price
01-01-26,Laptop,2,55000,48000
03-01-26,Mouse,12,800,400
05-01-26,Keyboard,8,1500,900
07-01-26,Monitor,3,18000,14000
10-01-26,Tablet,4,25000,20000
12-01-26,Laptop,3,56000,49000
15-01-26,Mouse,15,820,420
18-01-26,Keyboard,10,1550,920
21-01-26,Monitor,4,17500,13500
25-01-26,Tablet,5,25500,20500
28-01-26,Laptop,4,56500,49500
01-02-26,Mouse,18,830,430
04-02-26,Keyboard,12,1600,950
07-02-26,Monitor,5,18200,14200
10-02-26,Tablet,6,26000,21000
13-02-26,Laptop,5,57000,50000
16-02-26,Mouse,20,840,440
19-02-26,Keyboard,14,1620,960
22-02-26,Monitor,6,18500,14500
25-02-26,Tablet,7,26500,21500
28-02-26,Laptop,6,58000,51000
03-03-26,Mouse,22,850,450
06-03-26,Keyboard,16,1650,980
09-03-26,Monitor,7,19000,15000
12-03-26,Tablet,8,27000,22000
15-03-26,Laptop,7,59000,52000
18-03-26,Mouse,25,870,460
21-03-26,Keyboard,18,1680,990
24-03-26,Monitor,8,19500,15500
27-03-26,Tablet,9,27500,22500
