Date,Product,Quantity,Selling_Price,Cost_Price
02-01-26,Laptop,3,55000,52000
05-01-26,Mouse,20,800,700
08-01-26,Keyboard,12,1500,1200
11-01-26,Monitor,4,18000,17000
14-01-26,Tablet,6,25000,21000
17-01-26,Laptop,4,56000,53000
20-01-26,Mouse,25,820,720
23-01-26,Keyboard,14,1550,1250
26-01-26,Monitor,5,17500,16800
29-01-26,Tablet,7,25500,22000
02-02-26,Laptop,2,57000,54000
05-02-26,Mouse,28,830,750
08-02-26,Keyboard,10,1600,1300
11-02-26,Monitor,6,18200,17500
14-02-26,Tablet,8,26000,22500
17-02-26,Laptop,3,57500,54500
20-02-26,Mouse,30,840,760
23-02-26,Keyboard,9,1620,1320
26-02-26,Monitor,7,18500,17800
01-03-26,Tablet,10,26500,23000
04-03-26,Laptop,4,58000,55000
07-03-26,Mouse,35,850,780
10-03-26,Keyboard,11,1650,1350
13-03-26,Monitor,8,19000,18300
16-03-26,Tablet,12,27000,23500
